Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Japan,2023,PH01,Healthcare,49.32 ,"  4,63,704  ",Hacker Group,Weak Passwords,Firewall,14
USA,2020,PH01,Retail,99.64 ," 4,64,717 ",Insider,Weak Passwords,VPN,27
UK,2019,SI657,IT,78.84 ," 4,64,960 ",Unknown,Unpatched Software,Encryption,24
China,2016,PH01,Government,37.62 ," 4,65,317 ",Insider,Social Engineering,Firewall,20
Russia,2021,MIM65,IT,70.97 ," 4,65,446 ",Unknown,Unpatched Software,Encryption,51
Russia,2015,RWS34,Government,2.73 ," 4,65,465 ",Nation-state,Unpatched Software,Encryption,60
UK,2016,PH01,Education,29.49 ,"  4,66,333  ",Hacker Group,Zero-day,Firewall,51
Brazil,2020,SI657,Retail,96.97 ," 4,66,897 ",Insider,Unpatched Software,VPN,58
France,2020,RWS34,Retail,97.37 ," 4,67,137 ",Nation-state,Social Engineering,Encryption,14
Russia,2015,DD678,IT,66.09 ," 4,67,190 ",Nation-state,Social Engineering,AI-based Detection,25
UK,2019,PH01,Education,99.45 ," 4,67,349 ",Nation-state,Zero-day,Firewall,44
France,2021,SI657,Government,42.75 ," 4,67,551 ",Unknown,Unpatched Software,Encryption,61
Japan,2018,SI657,Education,60.57 ," 4,68,399 ",Nation-state,Zero-day,VPN,56
Japan,2020,MIM65,Retail,33.75 ,"  4,68,856  ",Hacker Group,Unpatched Software,Firewall,15
Brazil,2017,RWS34,Healthcare,54.78 ," 4,69,735 ",Nation-state,Zero-day,Encryption,57
Germany,2024,SI657,IT,1.01 ," 4,70,074 ",Insider,Weak Passwords,Encryption,9
Australia,2015,DD678,Telecommunications,14.55 ," 4,70,471 ",Nation-state,Unpatched Software,VPN,53
Brazil,2024,DD678,IT,34.46 ," 4,70,727 ",Unknown,Weak Passwords,Firewall,8
Japan,2017,PH01,Healthcare,47.39 ," 4,70,895 ",Nation-state,Social Engineering,Encryption,63
Australia,2020,DD678,Healthcare,91.45 ,"  4,71,113  ",Hacker Group,Unpatched Software,AI-based Detection,71
Germany,2024,ML345,IT,47.13 ," 4,71,379 ",Unknown,Unpatched Software,AI-based Detection,67
India,2015,PH01,Healthcare,76.08 ," 4,71,550 ",Unknown,Zero-day,VPN,5
Australia,2023,MIM65,Banking,57.34 ," 4,71,743 ",Unknown,Zero-day,Firewall,29
Germany,2022,RWS34,Education,87.93 ," 4,71,889 ",Nation-state,Zero-day,Antivirus,4
France,2019,ML345,Retail,71.84 ,"  4,71,898  ",Hacker Group,Social Engineering,VPN,55
France,2023,PH01,Education,31.03 ," 4,72,386 ",Nation-state,Zero-day,Encryption,24
USA,2021,ML345,Retail,72.24 ,"  4,72,835  ",Hacker Group,Unpatched Software,Encryption,57
Australia,2023,RWS34,Government,96.44 ," 4,72,878 ",Unknown,Social Engineering,Firewall,37
Japan,2024,MIM65,Education,68.35 ," 4,74,131 ",Insider,Unpatched Software,Firewall,41
Russia,2022,SI657,Government,69.09 ," 4,74,183 ",Insider,Weak Passwords,Antivirus,27
Russia,2022,DD678,Retail,93.71 ," 4,74,552 ",Nation-state,Zero-day,Encryption,20
UK,2015,SI657,Banking,6.96 ," 4,74,585 ",Nation-state,Unpatched Software,Firewall,34
India,2024,DD678,Education,73.37 ," 4,75,719 ",Nation-state,Social Engineering,Firewall,52
Japan,2016,ML345,Telecommunications,87.52 ,"  4,76,001  ",Hacker Group,Social Engineering,VPN,58
Brazil,2020,PH01,Government,76.95 ," 4,76,308 ",Insider,Social Engineering,VPN,44
Russia,2021,DD678,Retail,37.47 ,"  4,76,758  ",Hacker Group,Unpatched Software,AI-based Detection,19
UK,2017,PH01,IT,57.17 ," 4,77,292 ",Nation-state,Social Engineering,AI-based Detection,18
Russia,2015,ML345,Healthcare,35.11 ," 4,77,346 ",Unknown,Social Engineering,Firewall,8
UK,2021,MIM65,IT,72.57 ,"  4,77,493  ",Hacker Group,Unpatched Software,Encryption,16
UK,2017,DD678,Government,65.57 ,"  4,78,549  ",Hacker Group,Weak Passwords,Antivirus,37
Japan,2024,PH01,Retail,94.75 ," 4,78,963 ",Insider,Zero-day,VPN,70
Australia,2015,DD678,Government,13.96 ," 4,79,025 ",Nation-state,Zero-day,Antivirus,54
Russia,2021,SI657,Retail,82.88 ," 4,79,586 ",Insider,Zero-day,AI-based Detection,8
France,2018,ML345,IT,10.81 ," 4,79,628 ",Insider,Weak Passwords,VPN,13
USA,2017,PH01,IT,48.96 ," 4,80,386 ",Nation-state,Zero-day,Antivirus,18
Russia,2016,PH01,Retail,70.40 ," 4,80,522 ",Unknown,Zero-day,Antivirus,72
Brazil,2023,RWS34,Healthcare,30.45 ,"  4,80,773  ",Hacker Group,Weak Passwords,Encryption,52
Germany,2021,SI657,Retail,48.20 ," 4,80,984 ",Unknown,Zero-day,VPN,64
Russia,2024,MIM65,Healthcare,9.40 ," 4,80,988 ",Nation-state,Unpatched Software,Encryption,59
France,2020,SI657,Education,94.63 ,"  4,81,180  ",Hacker Group,Weak Passwords,AI-based Detection,10
Germany,2019,DD678,Telecommunications,52.17 ,"  4,81,252  ",Hacker Group,Weak Passwords,Antivirus,48
Australia,2016,SI657,Government,27.33 ,"  4,81,293  ",Hacker Group,Unpatched Software,Antivirus,65
India,2018,ML345,Healthcare,30.83 ," 4,81,452 ",Unknown,Weak Passwords,AI-based Detection,57
India,2022,ML345,IT,12.08 ," 4,82,213 ",Nation-state,Social Engineering,AI-based Detection,3
Brazil,2024,DD678,Government,88.79 ,"  4,82,307  ",Hacker Group,Zero-day,Firewall,62
USA,2024,MIM65,Government,96.13 ," 4,82,492 ",Unknown,Social Engineering,Encryption,17
Brazil,2024,RWS34,Government,32.21 ," 4,82,574 ",Nation-state,Unpatched Software,Firewall,22
Japan,2020,DD678,Retail,37.81 ," 4,82,700 ",Insider,Unpatched Software,VPN,55
Japan,2024,ML345,Telecommunications,42.79 ," 4,83,399 ",Insider,Zero-day,Antivirus,50
France,2021,MIM65,Telecommunications,90.99 ,"  4,83,484  ",Hacker Group,Unpatched Software,VPN,2
UK,2019,SI657,Telecommunications,39.58 ," 4,83,585 ",Unknown,Unpatched Software,Encryption,13
UK,2015,RWS34,Education,44.39 ," 4,83,598 ",Insider,Zero-day,Antivirus,29
Russia,2017,ML345,IT,20.85 ," 4,84,009 ",Insider,Weak Passwords,Firewall,41
Brazil,2024,DD678,Healthcare,70.00 ,"  4,84,101  ",Hacker Group,Unpatched Software,VPN,9
UK,2022,DD678,Telecommunications,80.05 ," 4,84,908 ",Unknown,Weak Passwords,Firewall,42
UK,2022,RWS34,Government,31.94 ," 4,85,080 ",Insider,Weak Passwords,Antivirus,61
USA,2021,MIM65,Banking,64.96 ," 4,85,702 ",Unknown,Unpatched Software,Firewall,51
Brazil,2023,SI657,Healthcare,7.33 ," 4,86,146 ",Insider,Zero-day,Firewall,12
India,2018,RWS34,Retail,23.79 ,"  4,86,810  ",Hacker Group,Unpatched Software,Antivirus,11
Germany,2017,MIM65,Government,56.15 ,"  4,87,668  ",Hacker Group,Unpatched Software,AI-based Detection,72
UK,2024,DD678,Healthcare,58.31 ,"  4,87,694  ",Hacker Group,Weak Passwords,Antivirus,41
Australia,2015,PH01,Telecommunications,89.41 ,"  4,88,342  ",Hacker Group,Unpatched Software,Firewall,23
Germany,2020,SI657,Telecommunications,27.52 ," 4,88,501 ",Nation-state,Social Engineering,Encryption,47
India,2024,DD678,Healthcare,4.08 ," 4,88,599 ",Unknown,Social Engineering,Encryption,11
USA,2023,DD678,Telecommunications,11.73 ," 4,89,053 ",Nation-state,Zero-day,Antivirus,29
Brazil,2024,RWS34,Education,80.10 ," 4,89,369 ",Nation-state,Unpatched Software,Encryption,41
India,2017,RWS34,Banking,9.81 ," 4,89,620 ",Unknown,Unpatched Software,VPN,43
Brazil,2016,MIM65,Banking,43.45 ," 4,89,853 ",Nation-state,Zero-day,AI-based Detection,28
UK,2021,ML345,Education,70.90 ," 4,90,771 ",Nation-state,Weak Passwords,Antivirus,70
UK,2017,RWS34,Healthcare,55.45 ,"  4,90,818  ",Hacker Group,Unpatched Software,VPN,65
Russia,2019,RWS34,Education,11.06 ," 4,90,910 ",Insider,Zero-day,AI-based Detection,58
USA,2018,MIM65,Government,51.41 ,"  4,91,008  ",Hacker Group,Weak Passwords,Encryption,50
Japan,2019,DD678,Government,74.65 ," 4,91,269 ",Nation-state,Zero-day,Firewall,67
Germany,2019,DD678,IT,14.77 ,"  4,91,791  ",Hacker Group,Zero-day,Encryption,66
Brazil,2017,MIM65,Government,14.54 ," 4,91,794 ",Nation-state,Zero-day,Encryption,4
Russia,2024,SI657,Government,63.45 ," 4,92,909 ",Unknown,Zero-day,AI-based Detection,42
Brazil,2017,RWS34,IT,9.43 ,"  4,93,087  ",Hacker Group,Unpatched Software,Encryption,44
China,2019,PH01,Telecommunications,88.67 ," 4,93,675 ",Unknown,Zero-day,VPN,29
Germany,2024,MIM65,Retail,46.41 ,"  4,94,622  ",Hacker Group,Social Engineering,VPN,37
Russia,2022,DD678,Education,69.24 ," 4,95,616 ",Nation-state,Unpatched Software,Antivirus,38
Germany,2022,RWS34,Retail,19.47 ,"  4,96,271  ",Hacker Group,Unpatched Software,AI-based Detection,20
Germany,2022,RWS34,Healthcare,61.99 ," 4,96,292 ",Nation-state,Zero-day,AI-based Detection,21
Australia,2022,PH01,Healthcare,72.53 ,"  4,96,317  ",Hacker Group,Weak Passwords,Antivirus,62
Russia,2020,DD678,Government,41.45 ," 4,96,378 ",Insider,Unpatched Software,AI-based Detection,42
Australia,2019,SI657,Retail,13.96 ," 4,96,667 ",Unknown,Zero-day,Antivirus,45
Australia,2020,ML345,Banking,42.30 ,"  4,97,035  ",Hacker Group,Zero-day,AI-based Detection,66
India,2023,SI657,Government,28.71 ," 4,97,965 ",Unknown,Unpatched Software,VPN,25
USA,2015,RWS34,Retail,74.68 ," 4,98,089 ",Insider,Weak Passwords,Encryption,18
India,2018,RWS34,Retail,62.59 ," 4,98,457 ",Insider,Weak Passwords,VPN,12
USA,2021,DD678,Telecommunications,47.84 ,"  4,98,904  ",Hacker Group,Zero-day,Antivirus,65
Germany,2024,PH01,Government,22.46 ," 4,99,142 ",Nation-state,Unpatched Software,VPN,70
China,2020,DD678,Education,52.36 ,"  4,99,615  ",Hacker Group,Unpatched Software,Antivirus,19
China,2018,ML345,Education,97.20 ," 4,99,651 ",Nation-state,Zero-day,Encryption,50
Brazil,2024,PH01,Telecommunications,81.54 ,"  4,99,671  ",Hacker Group,Weak Passwords,VPN,4
China,2020,MIM65,Retail,34.82 ," 5,00,252 ",Nation-state,Zero-day,Antivirus,29
China,2016,DD678,Healthcare,63.15 ," 5,00,521 ",Nation-state,Weak Passwords,Encryption,27
Russia,2019,ML345,IT,71.92 ," 5,00,655 ",Nation-state,Zero-day,AI-based Detection,8
Australia,2024,RWS34,Education,44.95 ," 5,00,747 ",Insider,Unpatched Software,AI-based Detection,58
Russia,2017,ML345,Government,2.65 ,"  5,00,857  ",Hacker Group,Zero-day,VPN,35
Russia,2021,RWS34,Banking,34.92 ," 5,01,490 ",Insider,Social Engineering,Firewall,44
China,2024,PH01,Telecommunications,9.45 ,"  5,01,864  ",Hacker Group,Unpatched Software,Encryption,12
USA,2017,MIM65,Retail,74.57 ,"  5,02,149  ",Hacker Group,Weak Passwords,AI-based Detection,29
Russia,2018,DD678,Telecommunications,4.08 ," 5,02,842 ",Unknown,Zero-day,VPN,15
Russia,2018,PH01,IT,65.88 ,"  5,03,520  ",Hacker Group,Zero-day,Encryption,48
India,2015,RWS34,IT,61.68 ,"  5,03,774  ",Hacker Group,Zero-day,Firewall,37
Russia,2016,PH01,Government,30.57 ," 5,03,775 ",Unknown,Zero-day,VPN,71
France,2018,RWS34,Telecommunications,11.28 ,"  5,04,165  ",Hacker Group,Zero-day,AI-based Detection,55
India,2023,DD678,Retail,73.85 ," 5,04,861 ",Unknown,Weak Passwords,Antivirus,65
India,2018,ML345,Government,25.53 ," 5,05,404 ",Insider,Zero-day,AI-based Detection,30
Japan,2020,SI657,Telecommunications,38.29 ,"  5,05,831  ",Hacker Group,Social Engineering,Encryption,40
USA,2019,ML345,Government,83.84 ," 5,06,149 ",Nation-state,Social Engineering,Encryption,35
Japan,2020,MIM65,IT,13.61 ," 5,06,364 ",Nation-state,Social Engineering,Firewall,66
Brazil,2017,MIM65,Retail,17.99 ," 5,06,551 ",Unknown,Unpatched Software,Antivirus,53
Germany,2015,RWS34,IT,51.11 ," 5,06,625 ",Insider,Weak Passwords,VPN,41
Russia,2024,RWS34,Banking,80.29 ," 5,07,258 ",Nation-state,Social Engineering,Antivirus,30
Australia,2019,PH01,Banking,1.13 ,"  5,07,976  ",Hacker Group,Zero-day,AI-based Detection,70
Germany,2018,SI657,Banking,81.33 ," 5,08,544 ",Insider,Unpatched Software,VPN,45
France,2024,PH01,Government,5.80 ,"  5,08,649  ",Hacker Group,Unpatched Software,Firewall,66
Germany,2017,RWS34,Retail,68.73 ," 5,09,742 ",Nation-state,Zero-day,Antivirus,43
Australia,2016,RWS34,Healthcare,47.18 ," 5,09,930 ",Unknown,Social Engineering,AI-based Detection,68
Japan,2023,SI657,Government,87.80 ,"  5,10,002  ",Hacker Group,Social Engineering,Firewall,62
China,2017,ML345,IT,86.98 ," 5,10,454 ",Nation-state,Zero-day,VPN,18
Germany,2024,PH01,Government,90.21 ," 5,10,657 ",Nation-state,Social Engineering,VPN,62
Russia,2018,DD678,Education,13.13 ,"  5,10,702  ",Hacker Group,Weak Passwords,Firewall,15
Brazil,2022,RWS34,Retail,1.42 ," 5,10,870 ",Unknown,Unpatched Software,AI-based Detection,35
Germany,2021,DD678,Healthcare,32.07 ," 5,10,895 ",Unknown,Weak Passwords,Antivirus,6
UK,2020,PH01,Healthcare,3.02 ," 5,10,974 ",Unknown,Weak Passwords,Encryption,16
France,2016,PH01,Banking,54.50 ," 5,11,287 ",Unknown,Unpatched Software,Antivirus,34
Japan,2018,MIM65,Education,20.85 ," 5,11,823 ",Insider,Zero-day,AI-based Detection,43
Japan,2018,MIM65,Government,78.16 ,"  5,12,258  ",Hacker Group,Weak Passwords,Encryption,32
India,2023,PH01,Telecommunications,11.72 ," 5,12,291 ",Insider,Zero-day,AI-based Detection,51
Japan,2020,PH01,Banking,73.04 ," 5,12,431 ",Nation-state,Unpatched Software,VPN,44
UK,2024,MIM65,Healthcare,65.78 ," 5,12,847 ",Insider,Social Engineering,Encryption,72
India,2020,PH01,Education,39.72 ,"  5,12,850  ",Hacker Group,Zero-day,Antivirus,15
India,2018,DD678,Education,55.30 ," 5,12,953 ",Unknown,Weak Passwords,Firewall,57
USA,2018,DD678,Banking,31.54 ," 5,13,005 ",Unknown,Social Engineering,VPN,62
Germany,2020,SI657,Healthcare,38.89 ,"  5,13,096  ",Hacker Group,Weak Passwords,VPN,57
USA,2019,DD678,Telecommunications,57.52 ," 5,13,601 ",Nation-state,Unpatched Software,VPN,14
India,2024,PH01,Telecommunications,50.64 ," 5,13,620 ",Unknown,Unpatched Software,Antivirus,65
USA,2017,DD678,Retail,70.37 ," 5,13,625 ",Nation-state,Weak Passwords,VPN,37
India,2015,DD678,Education,21.74 ," 5,13,867 ",Unknown,Zero-day,Firewall,34
Russia,2023,RWS34,Banking,54.09 ,"  5,14,319  ",Hacker Group,Zero-day,Firewall,37
India,2019,SI657,Retail,15.39 ,"  5,14,826  ",Hacker Group,Unpatched Software,Firewall,72
Russia,2019,MIM65,Retail,99.53 ," 5,15,797 ",Nation-state,Social Engineering,Firewall,46
USA,2017,ML345,Education,78.38 ,"  5,16,103  ",Hacker Group,Unpatched Software,Firewall,62
Japan,2022,MIM65,Retail,44.34 ," 5,16,125 ",Unknown,Zero-day,Firewall,67
Germany,2016,ML345,Banking,84.54 ," 5,17,353 ",Nation-state,Social Engineering,Antivirus,41
Russia,2020,MIM65,Government,97.39 ," 5,17,452 ",Unknown,Zero-day,Firewall,9
Russia,2024,ML345,Banking,93.33 ," 5,17,610 ",Nation-state,Social Engineering,Firewall,35
France,2017,MIM65,Education,76.35 ,"  5,17,640  ",Hacker Group,Unpatched Software,Firewall,4
India,2021,PH01,Retail,38.50 ," 5,17,843 ",Unknown,Unpatched Software,VPN,69
UK,2024,DD678,Retail,88.54 ," 5,18,181 ",Insider,Zero-day,Antivirus,24
Japan,2018,PH01,Healthcare,25.66 ," 5,18,357 ",Insider,Weak Passwords,Firewall,42
Germany,2021,ML345,Healthcare,23.34 ,"  5,18,982  ",Hacker Group,Weak Passwords,VPN,20
Germany,2021,SI657,Education,17.55 ," 5,19,698 ",Insider,Social Engineering,Encryption,30
China,2019,ML345,Telecommunications,62.67 ," 5,20,232 ",Nation-state,Weak Passwords,Encryption,53
India,2016,SI657,Banking,4.31 ," 5,20,308 ",Insider,Zero-day,VPN,39
USA,2022,PH01,IT,48.71 ," 5,20,480 ",Insider,Weak Passwords,VPN,66
Brazil,2017,PH01,Retail,3.18 ," 5,20,654 ",Nation-state,Social Engineering,VPN,53
Japan,2024,SI657,Banking,67.37 ," 5,21,384 ",Unknown,Social Engineering,Antivirus,32
Germany,2022,MIM65,Telecommunications,92.88 ," 5,21,871 ",Insider,Social Engineering,Encryption,6
Russia,2019,MIM65,Healthcare,53.82 ," 5,21,877 ",Unknown,Zero-day,Encryption,66
UK,2020,SI657,Banking,73.69 ,"  5,22,097  ",Hacker Group,Weak Passwords,VPN,63
USA,2022,SI657,IT,8.50 ,"  5,23,164  ",Hacker Group,Weak Passwords,AI-based Detection,30
USA,2016,RWS34,Retail,11.58 ," 5,23,522 ",Unknown,Weak Passwords,Encryption,57
Germany,2018,MIM65,Banking,23.32 ," 5,24,693 ",Unknown,Unpatched Software,VPN,63
Australia,2023,DD678,IT,81.89 ," 5,25,978 ",Unknown,Weak Passwords,Antivirus,12
Brazil,2018,ML345,Retail,27.82 ," 5,26,161 ",Unknown,Unpatched Software,AI-based Detection,12
France,2019,PH01,IT,55.31 ," 5,26,220 ",Nation-state,Social Engineering,AI-based Detection,2
Brazil,2017,PH01,Healthcare,68.99 ,"  5,26,227  ",Hacker Group,Weak Passwords,VPN,62
India,2024,RWS34,IT,88.23 ," 5,26,308 ",Insider,Unpatched Software,Antivirus,23
Australia,2017,SI657,Banking,7.21 ," 5,26,324 ",Insider,Unpatched Software,VPN,39
Germany,2015,ML345,Banking,56.13 ," 5,26,658 ",Nation-state,Weak Passwords,VPN,38
China,2018,SI657,Healthcare,52.01 ,"  5,27,443  ",Hacker Group,Unpatched Software,Firewall,24
USA,2020,MIM65,Education,44.85 ," 5,27,938 ",Nation-state,Zero-day,Encryption,1
Brazil,2020,MIM65,Retail,16.26 ," 5,27,964 ",Insider,Zero-day,Firewall,28
China,2018,MIM65,IT,68.28 ," 5,28,411 ",Insider,Zero-day,AI-based Detection,10
UK,2020,RWS34,Banking,53.03 ," 5,28,708 ",Unknown,Social Engineering,VPN,14
Russia,2022,RWS34,IT,41.08 ," 5,29,025 ",Insider,Unpatched Software,AI-based Detection,42
UK,2024,MIM65,IT,3.69 ," 5,29,410 ",Insider,Zero-day,Firewall,59
USA,2023,DD678,IT,55.14 ," 5,29,551 ",Unknown,Zero-day,VPN,61
Brazil,2020,ML345,Retail,89.71 ," 5,29,588 ",Nation-state,Weak Passwords,AI-based Detection,65
China,2015,MIM65,Retail,47.20 ,"  5,29,593  ",Hacker Group,Zero-day,VPN,64
UK,2016,MIM65,Banking,76.06 ," 5,30,253 ",Unknown,Weak Passwords,Encryption,28
UK,2021,DD678,IT,70.49 ," 5,30,341 ",Insider,Social Engineering,VPN,40
Japan,2016,MIM65,Retail,18.96 ," 5,30,947 ",Nation-state,Unpatched Software,VPN,12
France,2021,RWS34,IT,99.77 ," 5,33,151 ",Nation-state,Zero-day,Antivirus,43
India,2021,RWS34,Education,86.73 ," 5,34,013 ",Unknown,Unpatched Software,Firewall,49
Japan,2022,DD678,Telecommunications,94.79 ," 5,34,069 ",Nation-state,Social Engineering,Antivirus,6
USA,2021,RWS34,Education,84.64 ," 5,34,283 ",Insider,Social Engineering,VPN,49
China,2023,RWS34,Healthcare,62.21 ," 5,34,686 ",Insider,Unpatched Software,AI-based Detection,44
Brazil,2016,DD678,Healthcare,8.01 ," 5,34,847 ",Nation-state,Zero-day,Firewall,3
UK,2015,RWS34,IT,75.49 ," 5,34,962 ",Unknown,Weak Passwords,Encryption,59
USA,2018,RWS34,Retail,54.05 ," 5,35,110 ",Nation-state,Zero-day,Antivirus,2
Brazil,2016,DD678,IT,13.52 ,"  5,35,205  ",Hacker Group,Social Engineering,AI-based Detection,53
Australia,2018,DD678,Healthcare,90.40 ," 5,36,357 ",Nation-state,Weak Passwords,Encryption,55
Japan,2021,MIM65,Retail,9.97 ,"  5,36,471  ",Hacker Group,Weak Passwords,Encryption,72
Germany,2023,SI657,Telecommunications,94.14 ," 5,36,737 ",Unknown,Unpatched Software,Encryption,44
France,2016,PH01,Government,27.20 ," 5,36,925 ",Unknown,Zero-day,Encryption,62
Japan,2022,RWS34,Education,51.51 ,"  5,36,995  ",Hacker Group,Weak Passwords,Encryption,3
Russia,2022,DD678,Education,13.89 ," 5,37,149 ",Nation-state,Unpatched Software,VPN,54
Australia,2022,PH01,Healthcare,80.11 ," 5,37,530 ",Nation-state,Zero-day,Encryption,14
USA,2016,RWS34,Government,8.21 ," 5,37,592 ",Nation-state,Social Engineering,Antivirus,11
India,2016,RWS34,IT,66.19 ,"  5,37,670  ",Hacker Group,Unpatched Software,Encryption,55
France,2021,PH01,Retail,13.47 ," 5,37,683 ",Insider,Unpatched Software,VPN,41
India,2017,DD678,Banking,45.98 ,"  5,38,245  ",Hacker Group,Weak Passwords,AI-based Detection,18
UK,2015,MIM65,IT,53.07 ," 5,38,338 ",Nation-state,Zero-day,VPN,1
Brazil,2018,ML345,Retail,83.42 ,"  5,38,552  ",Hacker Group,Weak Passwords,AI-based Detection,65
Russia,2021,SI657,Telecommunications,68.07 ," 5,38,602 ",Insider,Unpatched Software,VPN,19
Australia,2023,SI657,Healthcare,99.19 ," 5,38,688 ",Nation-state,Zero-day,Encryption,36
Russia,2016,SI657,Government,77.94 ,"  5,38,804  ",Hacker Group,Weak Passwords,VPN,43
France,2015,DD678,Banking,51.64 ," 5,38,890 ",Nation-state,Zero-day,Antivirus,59
UK,2024,RWS34,Healthcare,90.37 ,"  5,40,353  ",Hacker Group,Unpatched Software,Antivirus,68
France,2015,SI657,Government,14.72 ," 5,40,718 ",Insider,Zero-day,AI-based Detection,6
Germany,2024,PH01,Healthcare,66.73 ," 5,40,773 ",Unknown,Unpatched Software,VPN,15
India,2020,PH01,Healthcare,64.70 ,"  5,41,451  ",Hacker Group,Weak Passwords,Encryption,17
USA,2020,DD678,Education,52.70 ," 5,41,631 ",Unknown,Zero-day,AI-based Detection,30
China,2015,PH01,Banking,18.39 ," 5,41,829 ",Nation-state,Zero-day,Antivirus,33
USA,2015,ML345,Retail,84.70 ,"  5,42,283  ",Hacker Group,Social Engineering,Firewall,64
France,2021,PH01,Education,78.99 ," 5,42,754 ",Insider,Zero-day,VPN,42
UK,2021,PH01,Retail,56.53 ," 5,42,850 ",Nation-state,Zero-day,Antivirus,41
USA,2018,RWS34,Healthcare,27.37 ," 5,43,437 ",Unknown,Unpatched Software,Firewall,20
Germany,2019,MIM65,IT,89.60 ," 5,44,648 ",Unknown,Weak Passwords,Antivirus,47
Brazil,2020,DD678,Healthcare,53.42 ," 5,45,588 ",Insider,Unpatched Software,Antivirus,54
UK,2018,MIM65,Healthcare,45.11 ," 5,45,613 ",Insider,Unpatched Software,VPN,25
Brazil,2015,RWS34,Banking,63.14 ," 5,45,908 ",Insider,Social Engineering,AI-based Detection,2
France,2024,DD678,Government,85.88 ," 5,46,017 ",Unknown,Social Engineering,Encryption,14
Germany,2016,DD678,Telecommunications,14.28 ," 5,47,178 ",Insider,Social Engineering,Firewall,45
UK,2023,DD678,Banking,81.26 ," 5,47,495 ",Nation-state,Weak Passwords,AI-based Detection,3
Germany,2023,MIM65,Telecommunications,87.83 ," 5,47,719 ",Unknown,Weak Passwords,AI-based Detection,22
Japan,2019,MIM65,Government,61.01 ,"  5,49,197  ",Hacker Group,Social Engineering,Antivirus,59
Brazil,2023,MIM65,Retail,74.85 ,"  5,49,300  ",Hacker Group,Weak Passwords,Antivirus,26
China,2024,RWS34,Telecommunications,70.47 ," 5,49,337 ",Unknown,Social Engineering,Antivirus,63
Germany,2016,MIM65,IT,13.21 ," 5,49,414 ",Unknown,Social Engineering,Encryption,70
Japan,2021,MIM65,Telecommunications,18.91 ," 5,49,640 ",Nation-state,Social Engineering,Encryption,17
USA,2020,RWS34,Education,77.09 ," 5,50,317 ",Insider,Weak Passwords,Encryption,63
India,2020,SI657,Education,62.50 ," 5,50,656 ",Nation-state,Weak Passwords,Encryption,4
Germany,2017,RWS34,IT,33.24 ,"  5,50,719  ",Hacker Group,Zero-day,AI-based Detection,60
UK,2020,PH01,Healthcare,39.47 ," 5,51,014 ",Nation-state,Social Engineering,Firewall,71
Japan,2020,MIM65,Retail,91.36 ," 5,51,038 ",Insider,Social Engineering,Firewall,21
Australia,2019,MIM65,IT,87.89 ," 5,51,100 ",Insider,Zero-day,VPN,9
Brazil,2015,MIM65,Banking,74.27 ," 5,51,388 ",Unknown,Unpatched Software,Encryption,51
France,2017,PH01,Government,59.64 ," 5,51,515 ",Unknown,Zero-day,AI-based Detection,37
France,2015,PH01,Banking,95.72 ," 5,51,812 ",Insider,Weak Passwords,Encryption,69
USA,2016,DD678,Healthcare,27.08 ," 5,51,900 ",Unknown,Social Engineering,VPN,17
UK,2023,ML345,Education,23.86 ,"  5,52,241  ",Hacker Group,Zero-day,Encryption,50
Japan,2015,PH01,Education,2.43 ," 5,52,342 ",Unknown,Zero-day,VPN,62
India,2017,ML345,Telecommunications,7.44 ," 5,52,358 ",Nation-state,Weak Passwords,AI-based Detection,42
Germany,2016,ML345,Healthcare,67.85 ,"  5,52,427  ",Hacker Group,Zero-day,Encryption,58
Brazil,2024,RWS34,Healthcare,6.67 ,"  5,53,944  ",Hacker Group,Social Engineering,Encryption,64
Russia,2022,ML345,Healthcare,34.32 ," 5,54,162 ",Insider,Weak Passwords,Encryption,33
Russia,2018,MIM65,Government,63.82 ," 5,54,294 ",Unknown,Unpatched Software,AI-based Detection,42
France,2016,SI657,Telecommunications,47.19 ,"  5,54,448  ",Hacker Group,Social Engineering,Antivirus,31
UK,2022,DD678,Retail,45.73 ,"  5,54,585  ",Hacker Group,Social Engineering,VPN,63
China,2019,RWS34,Government,15.42 ," 5,55,153 ",Unknown,Zero-day,Encryption,11
Brazil,2016,DD678,Government,80.09 ," 5,55,275 ",Unknown,Social Engineering,Antivirus,71
UK,2021,RWS34,Banking,79.33 ," 5,55,527 ",Unknown,Unpatched Software,Firewall,33
USA,2021,PH01,IT,29.02 ," 5,55,756 ",Insider,Zero-day,AI-based Detection,21
Japan,2024,PH01,Education,72.20 ," 5,55,808 ",Unknown,Weak Passwords,AI-based Detection,4
Germany,2017,PH01,Banking,10.56 ," 5,56,014 ",Nation-state,Unpatched Software,Encryption,11
China,2024,DD678,Healthcare,11.92 ," 5,57,016 ",Unknown,Zero-day,Firewall,34
Japan,2016,ML345,Education,8.08 ," 5,57,108 ",Nation-state,Zero-day,Firewall,17
China,2020,RWS34,IT,14.94 ," 5,57,218 ",Nation-state,Zero-day,Firewall,70
India,2023,DD678,Banking,23.83 ," 5,57,428 ",Insider,Unpatched Software,VPN,38
Japan,2021,PH01,Healthcare,37.45 ,"  5,58,357  ",Hacker Group,Weak Passwords,VPN,49
